dataset,CH4 Concentration
1,791
10,950.3438335
11,1272.876764
12,1560.732457
13,1818.815082
14,2050.916911
15,2260.121894
16,2288.680385
17,2131.353862
18,1989.423439
19,1861.538273
20,1746.447948
21,1642.996563
22,1550.117108
23,1466.826112
24,1392.218548
25,1325.462969
26,1265.796866
27,1212.522227
28,1165.001284
29,1122.652436
30,1084.946342
31,1051.402172
32,1021.58402
33,995.0974733
34,971.5863407
35,950.7295436
36,932.238169
37,915.8526893
38,901.3403498
39,888.4927237
40,877.1234351
41,867.066047
42,858.17211
43,850.3093681
44,843.3601143
45,837.2196888
46,831.7951131
47,827.0038505
48,822.772685
49,819.0367102
50,815.7384189
51,812.8268855
52,810.2570341
53,807.9889822
54,805.9874556
55,804.2212662
56,802.6628464
57,801.2878355
58,800.0747112
59,799.0044629
60,798.0603018
61,797.2274031
62,796.4926788
63,795.8445751
64,795.2728941
65,794.7686351
66,794.3238553
67,793.9315456
68,793.5855213
69,793.2803257
70,793.0111444
71,792.77373
72,792.5643355
73,792.3796555
74,792.2167741
75,792.0731192
76,791.9464221
77,791.8346815
78,791.7361322
79,791.6492173
80,791.5725635
81,791.5049596
82,791.4453373
83,791.3927543
84,791.3463798
85,791.3054807
86,791.2694106
87,791.2375993
88,791.2095441
89,791.1848016
90,791.1629805
91,791.1437359
92,791.1267637
93,791.1117955
94,791.0985947
95,791.0869527
96,791.0766853
97,791.0676303
98,791.0596445
99,791.0526016
100,791.0463904
101,791.0409126
102,791.0360816
103,791.031821
104,791.0280636
105,791.0247498
106,791.0218273
107,791.0192499
108,791.0169769
109,791.0149722
110,791.0132043
111,791.0116451
112,791.01027
113,791.0090573
114,791.0079878
115,791.0070446
116,791.0062128
117,791.0054792
118,791.0048322
119,791.0042616
120,791.0037584
121,791.0033146
122,791.0029232
123,791.002578
124,791.0022736
125,791.0020051
126,791.0017684
127,791.0015596
128,791.0013754
129,791.001213
130,791.0010698
131,791.0009434
132,791.000832
133,791.0007338
134,791.0006471
135,791.0005707
136,791.0005033
137,791.0004439
138,791.0003915
139,791.0003453
140,791.0003045
141,791.0002685
142,791.0002368
143,791.0002089
144,791.0001842
145,791.0001624
146,791.0001433
147,791.0001263
148,791.0001114
149,791.0000983
150,791.0000867
151,791.0000764
152,791.0000674
153,791.0000594
154,791.0000524
155,791.0000462
156,791.0000408
157,791.000036
158,791.0000317
159,791.000028
160,791.0000247
161,791.0000218
162,791.0000192
163,791.0000169
164,791.0000149
165,791.0000132
166,791.0000116
167,791.0000102
168,791.000009
169,791.000008
170,791.000007
171,791.0000062
172,791.0000055
173,791.0000048
174,791.0000042
175,791.0000037
176,791.0000033
177,791.0000029
178,791.0000026
179,791.0000023
180,791.000002
181,791.0000018
182,791.0000016
183,791.0000014
184,791.0000012
185,791.0000011
186,791.0000009
187,791.0000008
188,791.0000007
189,791.0000006
190,791.0000006
191,791.0000005
192,791.0000004
193,791.0000004
194,791.0000003
195,791.0000003
196,791.0000003
197,791.0000002
198,791.0000002
199,791.0000002
200,791.0000002
201,791.0000001
202,791.0000001
203,791.0000001
204,791.0000001
205,791.0000001
206,791.0000001
207,791.0000001
208,791.0000001
209,791.0000001
210,791
211,791
212,791
213,791
214,791
215,791
216,791
217,791
218,791
219,791
220,791
221,791
222,791
223,791
224,791
225,791
226,791
227,791
228,791
229,791
230,791
231,791
232,791
233,791
234,791
235,791
236,791
237,791
238,791
239,791
240,791
241,791
242,791
243,791
244,791
245,791
246,791
247,791
248,791
249,791
250,791
251,791
252,791
253,791
254,791
255,791
256,791
257,791
258,791
259,791
260,791
261,791
262,791
263,791
264,791
265,791
266,791
267,791
268,791
269,791
270,791
271,791
272,791
273,791
274,791
275,791
276,791
277,791
278,791
279,791
280,791
281,791
282,791
283,791
284,791
285,791
286,791
287,791
288,791
289,791
290,791
291,791
292,791
293,791
294,791
295,791
296,791
297,791
298,791
299,791
300,791
